"19.","Eric Van Riet Paap","https://athletes.aidainternational.org/Profile-d1fa8cd6-31ce-4b8c-8e57-737f85b56fec","(Netherlands)","468.7","96.2","103","-","77.5","66","-","56","70"
"20.","Oskar Särnholm","https://athletes.aidainternational.org/Profile-5a4932ec-988e-484a-a827-c3dbc2fc4576","(Sweden)","467.6","93.6","105.5","-","80.5","50","48","38","52"
"1.","Eugen Goettling","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000e52","(Austria)","466.2","105.2","127","-","91","40","-","43","60"
"2.","Volodymyr Isataiev","https://athletes.aidainternational.org/Profile-6d3db96b-0541-4d57-8ab8-d3b0ae1d6549","(Ukraine)","465.7","84.2","105.5","70.5","71.5","41","47","-","46"
"3.","Jeanine Grasmeijer","https://athletes.aidainternational.org/Profile-d7eb770f-a9f5-4c1d-b239-9113613fab8c","(Netherlands)","464.2","78.2","89","-","65","80","-","60","92"
"4.","Nick Mevoli","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000f5d","(United States)","463.8","68.8","93.5","-","55.5","100","-","65","81"
"5.","Georgina Miller","https://athletes.aidainternational.org/Profile-b35205cf-e12e-42a9-997f-f49a63b38b72","(United Kingdom)","463.2","79.2","70.5","50","52.5","62","52","46","51"
"6.","Alice  Hickson","https://athletes.aidainternational.org/Profile-f1009edc-bdd5-457f-9e53-a800d7363cb0","(United Kingdom)","463.1","79.6","-","89.5","81","48","44","60","61"
"7.","Shuichi Goto","https://athletes.aidainternational.org/Profile-f3b0d150-8865-40a1-88d9-e5d2030c029d","(Japan)","461.9","71.4","89.5","50","65","72","-","47","67"
"8.","Kerian Hibbs","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000005c9","(New Zealand)","461.7","66.2","100.5","-","53","90","-","72","80"
"9.","Antonijo Koderman","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000097a","(Slovenia)","461.6","64.6","76.5","-","54.5","87","-","74","105"
"10.","Alena Zabloudilová","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002ef","(Czech Republic)","461","72","85.5","-","66.5","90","-","65","82"
"11.","Chris Cheung","https://athletes.aidainternational.org/Profile-0566194f-0711-4fcf-8336-3ab42592f49d","(Hong Kong)","460.2","66.2","82.5","75","56.5","95","85","-","-"
"12.","Chris Crawshaw","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000d21","(United Kingdom)","460","84","87.5","-","81.5","75","-","68","64"
"13.","Lewis Jones","https://athletes.aidainternational.org/Profile-2e93eca7-df98-4404-ac7f-40013686d287","(New Zealand)","458.2","72.2","100","75","70","56","-","34","51"
"14.","Irina Smolentseva","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000006f1","(Russian Federation)","457.8","64.8","75","53","47","60","52","48","58"
"15.","Vincent Mathieu","https://athletes.aidainternational.org/Profile-89f8b712-ec34-43a4-b3f7-d6cb209cdadf","(France)","457.6","105.6","112","-","-","100","-","40","100"
"16.","Giorgos Sakkas","https://athletes.aidainternational.org/Profile-d210a7a9-8782-4383-833e-aa9a2728dc55","(Greece)","454.9","72.4","90.5","-","65","80","-","64","83"
"17.","Stephane Tourreau","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000dd1","(France)","454.5","70","77.5","-","48","107","-","65","87"
"18.","Alexander K. Pavlov","https://athletes.aidainternational.org/Profile-e6b209e2-0125-4fe2-b388-ddb594c38c07","(Russian Federation)","454.3","81.8","99.5","-","82","31","46","53","61"
"19.","Bohwan Cha","https://athletes.aidainternational.org/Profile-803ad98c-f413-4884-8914-7cdc3ced5b13","(Republic of Korea)","451.6","64.6","60","60","-","81","70","45","71"
"20.","Henning Larsen","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000d7","(Denmark)","451.3","84.8","108.5","-","77","70","-","50","61"
"1.","Petr Vala","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000028a","(Czech Republic)","450.5","82","107.5","-","68","81","-","42","70"
"2.","Chris Marshall","https://athletes.aidainternational.org/Profile-5cefa3f1-626a-401c-a621-89e38ec7e9c0","(New Zealand)","450.5","75","115","-","87.5","65","-","46","62"
"3.","Nathan Watts","https://athletes.aidainternational.org/Profile-cd9e605c-d32f-41d8-bfbb-03b416a0ba57","(Australia)","449.7","71.2","100","-","79.5","78","-","63","58"
"4.","Walid Boudhiaf","https://athletes.aidainternational.org/Profile-a4fceb1b-f8f4-4af6-9103-a7e6935a73df","(France)","449.4","77.4","66","-","-","112","-","78","116"
"5.","Johan Hägg","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000c77","(Sweden)","449.1","77.6","92","-","68.5","80","-","71","60"
"6.","Hua Yang Huang","https://athletes.aidainternational.org/Profile-d974e3ef-5450-4f39-a306-497a270aa927","(Taiwan)","448.7","78.2","90","-","60.5","85","65","-","70"
"7.","Aleksandr Maksimov","https://athletes.aidainternational.org/Profile-6802071c-e049-4fb9-b354-93dd18aaa053","(Russian Federation)","448.5","106","108.5","108","78","23","-","-","25"
