"XIV Polish Freediving Pool Championships | XIV Basenowe Mistrzostwa Polski we Freedivingu","https://events.aidainternational.org/EventDetails-1889","Pool Competition","Wodna Nuta","Opole, Poland","2017-06-30","2017-07-01","",""
"Indoor spring apnea cup Lausanne 2017","https://events.aidainternational.org/EventDetails-234","Pool Competition","",",","2017-06-11","2017-06-12","",""
"Deja Blue 8","https://events.aidainternational.org/EventDetails-247","Mixed Competition","Deja Blue","Grand Cayman, Cayman Islands","2017-05-14","2017-05-21","",""
"Vertical Blue 2017","https://events.aidainternational.org/EventDetails-1884","Depth Competition","Dean'S Blue Hole","Long Island, Bahamas","2017-04-30","2017-05-01","",""
"4ter Burgebracher Kelch","https://events.aidainternational.org/EventDetails-191","Pool Competition","Burgebrach","Burgebrach, 96138, Germany","2017-04-29","2017-04-30","",""
"NIRVANA - INNERSEA DEPTH CONTEST","https://events.aidainternational.org/EventDetails-215","Depth Competition","Nirvana - Innersea Depth Contest","San Andres, Colombia","2017-04-14","2017-04-20","",""
"13. Submania Apnea Cup","https://events.aidainternational.org/EventDetails-249","Pool Competition","Swimming Pool Utrina","Zagreb, Croatia","2017-04-07","2017-04-09","",""
"APNEA CLUB GENÈVE CHALLENGE 2017","https://events.aidainternational.org/EventDetails-205","Pool Competition","",",","2017-02-04","2017-02-05","",""
"Barbórkowy Puchar Śląska we Freedivingu 2016 | The Silesia Freediving Pool Cup 2016","https://events.aidainternational.org/EventDetails-45","Pool Competition","Mosir Pool Rybnik","Rybnik, Poland","2016-12-02","2016-12-04","",""
"Hydro Dynamic 2016 by SALVIMAR","https://events.aidainternational.org/EventDetails-30","Pool Competition","Bsfz Südstadt","Maria Enzersdorf / Vienna, Austria","2016-10-29","2016-10-29","",""
"Team World Championship","https://events.aidainternational.org/EventDetails-48","World Championship","Elite Resort Hotel","Kalamata, Greece","2016-09-16","2016-09-25","",""
"BONAIRE DEEPSEA CHALLENGE","https://events.aidainternational.org/EventDetails-65","Mixed Competition","",",","2016-09-04","2016-09-11","",""
"Pool World Championships 2016","https://events.aidainternational.org/EventDetails-156","World Championship","Na","Turku, Finland","2016-06-27","2016-07-01","",""
"Championat Suisse 2016 Lausanne","https://events.aidainternational.org/EventDetails-252","Pool Competition","",",","2016-06-05","2016-06-06","",""
"The XIII Polish Feediving Pool Championships","https://events.aidainternational.org/EventDetails-219","Pool Competition","Aqua Lublin","Lublin, Poland","2016-05-27","2016-05-28","",""
"Caribbean Cup 2016","https://events.aidainternational.org/EventDetails-95","Depth Competition","N/A","N/A, Honduras","2016-05-26","2016-06-01","",""
"5th Thessaloniki Inter Apnea Games","https://events.aidainternational.org/EventDetails-332","Competition","",",","2016-05-22","2016-05-22","",""
"Vertical Blue 2016","https://events.aidainternational.org/EventDetails-82","Mixed Competition","Dean'S Blue Hole","Long Island, Bahamas","2016-04-22","2016-05-03","",""
"Carlos Coste WRA CWT 2002","https://events.aidainternational.org/EventDetails-2766","Worldrecord attempt","Puerto Cruz - Edo Vargas","Puerto Cruz - Edo Vargas, Venezuela","2002-10-06","2002-10-06","Registration Closed","EventRegistration-435"
"AIDA Infinity Depth Games 6","https://events.aidainternational.org/EventDetails-2668","Depth Competition","Psarolimano Marina","Larnaca, Cyprus","2020-10-09","2020-10-18","Register Now","EventRegistration-321"
